,0,1,2,3,4
108,000142,RTZQSYZQA,融通增强收益债券A,债券型-混合债,RONGTONGZENGQIANGSHOUYIZHAIQUANA
109,000143,PHSZJLZQA,鹏华双债加利债券A,债券型-混合债,PENGHUASHUANGZHAIJIALIZHAIQUANA
110,000147,YFDGDJXYZZQA,易方达高等级信用债债券A,债券型-长债,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANA
111,000148,YFDGDJXYZZQC,易方达高等级信用债债券C,债券型-长债,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANC
112,000149,HASZTLZQA,华安双债添利债券A,债券型-混合债,HUAANSHUANGZHAITIANLIZHAIQUANA
113,000150,HASZTLZQC,华安双债添利债券C,债券型-混合债,HUAANSHUANGZHAITIANLIZHAIQUANC
114,000152,DCJXCZZQA,大成景旭纯债债券A,债券型-长债,DACHENGJINGXUCHUNZHAIZHAIQUANA
115,000153,DCJXCZZQC,大成景旭纯债债券C,债券型-长债,DACHENGJINGXUCHUNZHAIZHAIQUANC
116,000154,FGHS300ZSZQA,富国沪深300指数增强A(后端),指数型-股票,FUGUOHUSHEN300ZHISHUZENGQIANGA
117,000155,FGTZTSZTLDHHA,富国通胀通缩主题轮动混合A(后端),混合型-偏股,FUGUOTONGZHANGTONGSUOZHUTILUNDONGHUNHEA
118,000157,FGQQKJHLWQDII,富国全球科技互联网(QDII)(后端),QDII,FUGUOQUANQIUKEJIHULIANWANGQDII
119,000158,FGDTHBHH,富国低碳环保混合(后端),混合型-偏股,FUGUODITANHUANBAOHUNHE
120,000159,FGGXJSCYHH,富国高新技术产业混合(后端),混合型-偏股,FUGUOGAOXINJISHUCHANYEHUNHE
121,000160,FGQHBDKZAB,富国强回报定开债A/B(后端),债券型-长债,FUGUOQIANGHUIBAODINGKAIZHAIAB
122,000161,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A(后端),混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA
123,000162,FGZGZXPHHQDIIRMB,富国中国中小盘混合(QDII)人民币(后端),QDII,FUGUOZHONGGUOZHONGXIAOPANHUNHEQDIIRENMINBI
124,000164,FGSZZSETFLJA,富国上证指数ETF联接A(后端),指数型-股票,FUGUOSHANGZHENGZHISHUETFLIANJIEA
125,000165,GTRYCLJXHH,国投瑞银策略精选混合,混合型-灵活,GUOTOURUIYINCELUEJINGXUANHUNHE
126,000166,ZHXXCYJXHH,中海信息产业精选混合,混合型-偏股,ZHONGHAIXINXICHANYEJINGXUANHUNHE
127,000167,GFJYLHPZHHA,广发聚优灵活配置混合A,混合型-灵活,GUANGFAJUYOULINGHUOPEIZHIHUNHEA
128,000171,YFDYFHBZQ,易方达裕丰回报债券,债券型-混合债,YIFANGDAYUFENGHUIBAOZHAIQUAN
129,000172,HTBRLHZQHHA,华泰柏瑞量化增强混合A,混合型-偏股,HUATAIBAIRUILIANGHUAZENGQIANGHUNHEA
130,000173,HTFML30HHA,汇添富美丽30混合A,混合型-偏股,HUITIANFUMEILI30HUNHEA
131,000174,HTFGXZZQA,汇添富高息债债券A,债券型-长债,HUITIANFUGAOXIZHAIZHAIQUANA
132,000175,HTFGXZZQC,汇添富高息债债券C,债券型-长债,HUITIANFUGAOXIZHAIZHAIQUANC
133,000176,JSHS300ZSYJZQA,嘉实沪深300指数研究增强A,指数型-股票,JIASHIHUSHEN300ZHISHUYANJIUZENGQIANGA
134,000179,GFMGFDCZS,广发美国房地产指数,QDII,GUANGFAMEIGUOFANGDICHANZHISHU
135,000180,GFMGFDCZSXH,广发美国房地产指数现汇,QDII,GUANGFAMEIGUOFANGDICHANZHISHUXIANHUI
136,000181,JSCCSJJLZQA,景顺长城四季金利债券A,债券型-混合债,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANA
137,000182,JSCCSJJLZQC,景顺长城四季金利债券C,债券型-混合债,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANC
138,000183,JSFYCLDQZQ,嘉实丰益策略定期债券,债券型-长债,JIASHIFENGYICELUEDINGQIZHAIQUAN
139,000184,GYTFZQA,工银添福债券A,债券型-混合债,GONGYINTIANFUZHAIQUANA
140,000185,GYTFZQB,工银添福债券B,债券型-混合债,GONGYINTIANFUZHAIQUANB
141,000186,HTBRJJHZQA,华泰柏瑞季季红债券A,债券型-混合债,HUATAIBAIRUIJIJIHONGZHAIQUANA
142,000187,HTBRFSCZZQA,华泰柏瑞丰盛纯债债券A,债券型-长债,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANA
143,000188,HTBRFSCZZQC,华泰柏瑞丰盛纯债债券C,债券型-长债,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANC
144,000189,YFDFHZQA,易方达丰华债券A,债券型-混合债,YIFANGDAFENGHUAZHAIQUANA
