,0
521,518.2554824021099
522,1080.1511714078224
523,518.2554824021099
524,433.6690345948009
525,506.17170414392604
526,790.1404932113255
527,723.6797127912978
528,391.3758106911446
529,185.95158030196035
530,-134.26854354000534
531,-448.4467782528736
532,-708.2480108039017
533,-279.2738826382556
534,-931.7979085803672
535,-744.4993455784679
536,-351.7765521873771
537,-496.7818912856237
538,-883.4627955476171
539,-1221.808586776864
540,-1780.3053606395697
541,-1585.0455295270294
542,-3006.493200064164
543,-2311.126530892441
544,-1566.4698987577212
545,-1910.1575751275886
546,-1136.8603032953833
547,-1566.4698987577212
548,-2182.243652253732
549,-2597.5329278673307
550,-1845.1128156112536
551,-708.4781779478217
552,-228.21002118862816
553,-164.17426695406903
554,-1044.6658876792644
555,-1108.7016419138236
556,-1861.1217541698934
557,-1941.1664469630996
558,-964.6211948860582
559,-1188.7463347070225
560,-2965.7385147160458
561,-2611.5229838427695
562,-2983.4492912597125
563,-2303.987502085067
564,-1799.2444586981946
565,122.66174496720487
566,-692.6924020423539
567,-1546.8729370047586
568,297.3804907549711
569,1170.9742196937877
570,2646.376961901573
571,1695.1304570570792
572,2122.220724538289
573,1442.758935363643
574,1287.4533835523034
575,1423.345741387231
576,2374.592246231725
577,3791.755406510252
578,4315.911643873544
579,3772.342212533833
580,3131.706811312026
581,3325.8387510762113
582,4859.481075213254
583,5208.91856678878
584,4898.307463166086
585,4704.175523401907
586,6567.842145138056
587,5597.182446317136
588,8547.987930732721
589,8975.078198213916
